
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.77 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southwest', 'West', 'Northwest', 'Southeast']
   1.80 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Northeast', 'Southwest', 'Southeast', 'West', 'Northwest']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southwest', 'Southeast', 'Northwest', 'West']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southwest', 'Northwest', 'West', 'Southeast']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Southwest', 'Northwest', 'Southeast', 'West']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'West', 'Southeast', 'Southwest']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'West', 'Southwest', 'Southeast']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'Southeast', 'West', 'Southwest']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'Southeast', 'Southwest', 'West']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'Southwest', 'West', 'Southeast']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northeast', 'Northwest', 'Southwest', 'Southeast', 'West']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Southeast', 'Southwest', 'Northeast']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Southeast', 'Northeast', 'Southwest']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Southwest', 'Southeast', 'Northeast']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Southwest', 'Northeast', 'Southeast']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Northeast', 'Southeast', 'Southwest']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'West', 'Northeast', 'Southwest', 'Southeast']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'West', 'Southwest', 'Northeast']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'West', 'Northeast', 'Southwest']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'Southwest', 'West', 'Northeast']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'Southwest', 'Northeast', 'West']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'Northeast', 'West', 'Southwest']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southeast', 'Northeast', 'Southwest', 'West']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'West', 'Southeast', 'Northeast']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'West', 'Northeast', 'Southeast']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'Southeast', 'West', 'Northeast']
   1.55 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'Southeast', 'Northeast', 'West']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'Northeast', 'West', 'Southeast']
   1.55 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Southwest', 'Northeast', 'Southeast', 'West']
   1.51 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'West', 'Southeast', 'Southwest']
   1.55 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'West', 'Southwest', 'Southeast']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'Southeast', 'West', 'Southwest']
   1.53 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'Southeast', 'Southwest', 'West']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'Southwest', 'West', 'Southeast']
   1.55 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Northwest', 'Northeast', 'Southwest', 'Southeast', 'West']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Southwest', 'Northeast', 'Northwest']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Southwest', 'Northwest', 'Northeast']
   1.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'East', 'Southeast', 'Northeast', 'Southwest', 'Northwest']
